,bbox,location,avg_sentiment,count
201,"[149.856924, -36.9394741685, 149.912394112, -36.886941217]","Pambula, New South Wales",-0.07407407407407407,1
202,"[149.875708096, -36.399175693, 149.8988552, -36.38200329]","Cobargo, New South Wales",-0.2222222222222222,1
203,"[149.883616416, -36.9030110015, 149.950011008, -36.842050079]","Merimbula, New South Wales",0.03125,4
204,"[149.88638592, -37.0761359995, 149.926222816, -37.037291938]","Eden, New South Wales",-0.041666666666666664,2
205,"[149.93070588, -27.07820604, 150.29798292, -26.808111]","Condamine, Queensland",0.0,1
206,"[149.949821984, -36.7388350085, 149.991868992, -36.699644997]","Tathra, New South Wales",-0.2,1
207,"[149.97087216, -33.362331022, 150.00132896, -33.341729755]","Portland (NSW), New South Wales",-0.02045310825741403,24
208,"[150.042778208, -36.458909455, 150.08476, -36.406939995]","Bermagui, New South Wales",-0.06334658187599365,5
209,"[150.050740416, -36.396609114, 150.083356992, -36.352866419]","Wallaga Lake, New South Wales",-1.0,1
210,"[150.114636672, -33.507317372, 150.194856992, -33.443602854]","Lithgow, New South Wales",-0.13816891589497973,8
211,"[150.119598016, -35.883970007, 150.192240992, -35.8214509775]","Broulee - Mossy Point, New South Wales",-0.08571428571428572,1
212,"[150.165184704, -35.7677475125, 150.217152992, -35.6735156905]","Batemans Bay, New South Wales",-0.044444444444444446,3
213,"[150.174118016, -35.8377869955, 150.20582, -35.8078539955]","Tomakin, New South Wales",-0.46153846153846156,1
214,"[150.260824992, -33.7716123495, 150.491901984, -33.683162092]","Blue Mountains, New South Wales",0.012711718480949251,13
215,"[150.264452032, -33.659468994, 150.333524992, -33.6000930035]","Blackheath, New South Wales",0.038562091503267976,4
216,"[150.270531488, -34.6777965915, 150.319621088, -34.6407896725]","Bundanoon, New South Wales",0.11138888888888887,3
217,"[150.352092352, -34.565317461, 150.420068576, -34.5302694885]","Moss Vale, New South Wales",-0.06120981001096091,4
218,"[150.399803616, -23.4907359985, 150.484258016, -23.4054700535]","Gracemere, Queensland",-0.05,2
219,"[150.459709984, -23.432698224, 150.580567552, -23.2462475835]","Rockhampton, Queensland",0.1346153846153846,1
220,"[150.472478208, -34.415179009, 150.505311008, -34.3810090095]","Colo Vale, New South Wales",-0.02631578947368421,1
221,"[150.520928608, -34.1183470085, 151.343020992, -33.578140996]","Sydney, New South Wales",0.00047476312003999515,3056
222,"[150.539229728, -34.8413439915, 150.552181024, -34.829512372]","Tapitallee, New South Wales",0.015379977240872986,7
223,"[150.571788, -35.1170810155, 150.643139296, -35.0703874225]","St Georges Basin - Sanctuary Point, New South Wales",0.0359588429349728,20
224,"[150.661743808, -23.172471415, 150.794908928, -23.0919761205]","Yeppoon, Queensland",-0.15384615384615385,1
225,"[150.663419264, -31.5280095315, 150.69957872, -31.4819934085]","Quirindi, New South Wales",-0.08333333333333333,1
226,"[150.664325696, -35.051619894, 150.679510016, -35.0322074185]","Huskisson, New South Wales",-0.1724137931034483,1
227,"[150.665562016, -35.0370789125, 150.729004, -34.989906188]","Callala Bay, New South Wales",-0.03596515234446269,9
228,"[150.669034016, -34.7830328795, 150.704801536, -34.761725005]","Berry, New South Wales",0.06521739130434782,1
229,"[150.736104224, -34.1349714045, 150.743098944, -34.1253773415]","Menangle, New South Wales",0.014120370370370372,6
230,"[150.743944832, -34.628601669, 150.973866016, -34.2513407335]","Wollongong, New South Wales",-0.006399935992559682,86
231,"[150.811148992, -35.0195719925, 150.830615008, -35.010463314]","Currarong, New South Wales",0.0,1
232,"[150.81640704, -34.7561793895, 150.83956752, -34.727618997]","Gerringong, New South Wales",0.054243971926898754,6
233,"[150.820361152, -31.772049636, 150.844831232, -31.754244903]","Murrurundi, New South Wales",0.0,2
234,"[150.82175916, -32.55276204, 150.883578, -32.48113203]","Appletree Flat, New South Wales",0.070145585176782,3
235,"[150.823084992, -32.062261319, 150.886009568, -32.0212300025]","Scone, New South Wales",0.14285714285714285,1
236,"[150.830396, -34.698373383, 150.865478144, -34.6178046805]","Kiama, New South Wales",-0.04600301659125189,2
237,"[150.872361248, -31.1770347465, 150.999311008, -31.053923111]","Tamworth, New South Wales",-0.11985873645868046,12
238,"[150.978061728, -34.237066781, 150.99641264, -34.221981992]","Stanwell Park, New South Wales",-0.29411764705882354,1
239,"[151.08603472, -29.8052225615, 151.143623616, -29.7519955825]","Inverell, New South Wales",-0.08695652173913043,1
240,"[151.112907616, -31.479260644, 151.134365536, -31.4534083555]","Nundle, New South Wales",0.0,1
