median_tot_hhd_inc_weekly, median_age_persons, median_mortgage_repay_monthly, lga_code_2021, median_rent_weekly, average_num_psns_per_bedroom, median_tot_fam_inc_weekly, average_household_size, median_tot_prsnl_inc_weekly
1687,49,1600,"58680",200,0.7,2100,2.4,824
1894,35,1900,"58760",350,0.8,2148,2.8,817
1312,48,1625,"58820",260,0.7,1701,2.4,620
1325,50,915,"58890",143,0.7,1708,2.2,804
1318,48,400,"59030",85,0.7,1465,2.2,817
2199,31,2037,"72800",400,0.9,2453,2.8,1133
1320,29,1290,"73600",75,1.7,756,4.1,288
757,30,845,"74050",80,1.3,551,3.4,240
1194,27,1170,"74550",85,1.3,875,3.5,392
1256,47,867,"59100",139,0.7,1662,2.4,742
1355,52,1597,"74560",250,1.0,1768,2.1,826
1523,28,488,"74660",80,1.6,771,4.2,285
804,26,0,"74680",50,1.9,467,4.9,196
2087,35,1785,"79399",123,1.0,2805,2.4,1160
1739,41,1285,"59170",200,0.7,2243,2.4,1015
1109,35,0,"59250",118,1.0,767,2.4,1196
2373,35,2080,"89399",450,0.8,2872,2.5,1204
